input_field,ground_truth,prediction,method,confidence,TP,FP,FN,TN,correct
study_name,study_name,study_name,exact,1.0,1,0,0,0,1
sample_id,sample_id,sample_id,exact,1.0,1,0,0,0,1
subject_id,,sample_id,semantic,0.6333,0,1,0,0,0
body_site,body_site,body_site,exact,1.0,1,0,0,0,1
antibiotics_current_use,antibiotics_current_use,antibiotics_current_use,exact,1.0,1,0,0,0,1
study_condition,,study_name,semantic,0.6333,0,1,0,0,0
disease,disease,disease,exact,1.0,1,0,0,0,1
age,age_years,age_years,semantic,0.7,1,0,0,0,1
infant_age,,age_years,semantic,0.6333,0,1,0,0,0
age_category,age_group,age_years,semantic,0.6333,0,1,0,0,0
gender,sex,sex,llm,0.72,1,0,0,0,1
country,country,country,exact,1.0,1,0,0,0,1
non_westernized,westernized,westernized,fuzzy,0.8038,1,0,0,0,1
sequencing_platform,,,no_match,0.0,0,0,0,1,1
DNA_extraction_kit,,,no_match,0.0,0,0,0,1,1
PMID,,,no_match,0.0,0,0,0,1,1
number_reads,,,no_match,0.0,0,0,0,1,1
number_bases,,,no_match,0.0,0,0,0,1,1
minimum_read_length,,,no_match,0.0,0,0,0,1,1
median_read_length,,,no_match,0.0,0,0,0,1,1
NCBI_accession,,,no_match,0.0,0,0,0,1,1
pregnant,,,no_match,0.0,0,0,0,1,1
lactating,,,no_match,0.0,0,0,0,1,1
curator,,,no_match,0.0,0,0,0,1,1
BMI,,,no_match,0.0,0,0,0,1,1
family,,,no_match,0.0,0,0,0,1,1
treatment,treatment,treatment,exact,1.0,1,0,0,0,1
days_from_first_collection,,,no_match,0.0,0,0,0,1,1
family_role,,fmt_role,semantic,0.6333,0,1,0,0,0
born_method,,,no_match,0.0,0,0,0,1,1
feeding_practice,,,no_match,0.0,0,0,0,1,1
location,,,no_match,0.0,0,0,0,1,1
diet,dietary_restriction,dietary_restriction,llm,0.72,1,0,0,0,1
travel_destination,,,no_match,0.0,0,0,0,1,1
visit_number,,,no_match,0.0,0,0,0,1,1
premature,,,no_match,0.0,0,0,0,1,1
birth_weight,,,no_match,0.0,0,0,0,1,1
gestational_age,,age_years,semantic,0.6333,0,1,0,0,0
antibiotics_family,,,no_match,0.0,0,0,0,1,1
disease_subtype,,disease,semantic,0.7,0,1,0,0,0
days_after_onset,,,no_match,0.0,0,0,0,1,1
creatine,,,no_match,0.0,0,0,0,1,1
albumine,,,no_match,0.0,0,0,0,1,1
hscrp,,,no_match,0.0,0,0,0,1,1
ESR,,,no_match,0.0,0,0,0,1,1
ast,,,no_match,0.0,0,0,0,1,1
alt,,,no_match,0.0,0,0,0,1,1
globulin,,,no_match,0.0,0,0,0,1,1
urea_nitrogen,,,no_match,0.0,0,0,0,1,1
BASDAI,,,no_match,0.0,0,0,0,1,1
BASFI,,,no_match,0.0,0,0,0,1,1
alcohol,,,no_match,0.0,0,0,0,1,1
flg_genotype,,,no_match,0.0,0,0,0,1,1
population,,,no_match,0.0,0,0,0,1,1
menopausal_status,,,no_match,0.0,0,0,0,1,1
lifestyle,,,no_match,0.0,0,0,0,1,1
body_subsite,,body_site,fuzzy,0.8143,0,1,0,0,0
uncurated_metadata,unmetadata,unmetadata,llm,0.72,1,0,0,0,1
tnm,tumor_staging_tnm,tumor_staging_tnm,semantic,0.6333,1,0,0,0,1
triglycerides,,,no_match,0.0,0,0,0,1,1
hdl,,,no_match,0.0,0,0,0,1,1
ldl,,,no_match,0.0,0,0,0,1,1
hba1c,,,no_match,0.0,0,0,0,1,1
change_in_tumor_size,,,no_match,0.0,0,0,0,1,1
RECIST,,,no_match,0.0,0,0,0,1,1
ORR,,,no_match,0.0,0,0,0,1,1
smoker,smoker,smoker,exact,1.0,1,0,0,0,1
ever_smoker,smoker,smoker,semantic,0.7,1,0,0,0,1
dental_sample_type,,,no_match,0.0,0,0,0,1,1
history_of_periodontitis,,,no_match,0.0,0,0,0,1,1
PPD_M,,,no_match,0.0,0,0,0,1,1
PPD_B,,,no_match,0.0,0,0,0,1,1
PPD_D,,,no_match,0.0,0,0,0,1,1
PPD_L,,,no_match,0.0,0,0,0,1,1
fobt,,,no_match,0.0,0,0,0,1,1
disease_stage,disease,disease,semantic,0.7,1,0,0,0,1
disease_location,,disease,semantic,0.7,0,1,0,0,0
calprotectin,,,no_match,0.0,0,0,0,1,1
HBI,,,no_match,0.0,0,0,0,1,1
SCCAI,,,no_match,0.0,0,0,0,1,1
mumps,,,no_match,0.0,0,0,0,1,1
cholesterol,,,no_match,0.0,0,0,0,1,1
c_peptide,,,no_match,0.0,0,0,0,1,1
glucose,,,no_match,0.0,0,0,0,1,1
creatinine,,,no_match,0.0,0,0,0,1,1
bilubirin,,,no_match,0.0,0,0,0,1,1
prothrombin_time,,,no_match,0.0,0,0,0,1,1
wbc,,,no_match,0.0,0,0,0,1,1
rbc,,,no_match,0.0,0,0,0,1,1
hemoglobinometry,,,no_match,0.0,0,0,0,1,1
FMT_role,fmt_role,fmt_role,exact,0.97,1,0,0,0,1
subcohort,,,no_match,0.0,0,0,0,1,1
fmt_id,fmt_id,fmt_id,exact,1.0,1,0,0,0,1
remission,,,no_match,0.0,0,0,0,1,1
dyastolic_p,,,no_match,0.0,0,0,0,1,1
systolic_p,,,no_match,0.0,0,0,0,1,1
insulin_cat,,,no_match,0.0,0,0,0,1,1
adiponectin,,,no_match,0.0,0,0,0,1,1
glp_1,,,no_match,0.0,0,0,0,1,1
cd163,,,no_match,0.0,0,0,0,1,1
il_1,,,no_match,0.0,0,0,0,1,1
leptin,,,no_match,0.0,0,0,0,1,1
fgf_19,,,no_match,0.0,0,0,0,1,1
glutamate_decarboxylase_2_antibody,,,no_match,0.0,0,0,0,1,1
HLA,hla,hla,exact,0.97,1,0,0,0,1
autoantibody_positive,,,no_match,0.0,0,0,0,1,1
age_seroconversion,,age_years,semantic,0.6333,0,1,0,0,0
age_T1D_diagnosis,,,no_match,0.0,0,0,0,1,1
hitchip_probe_class,,,no_match,0.0,0,0,0,1,1
previous_therapy,,,no_match,0.0,0,0,0,1,1
performance_status,,,no_match,0.0,0,0,0,1,1
toxicity_above_zero,,,no_match,0.0,0,0,0,1,1
PFS12,,,no_match,0.0,0,0,0,1,1
fasting_insulin,,,no_match,0.0,0,0,0,1,1
fasting_glucose,,,no_match,0.0,0,0,0,1,1
protein_intake,,,no_match,0.0,0,0,0,1,1
stec_count,,,no_match,0.0,0,0,0,1,1
shigatoxin_2_elisa,,,no_match,0.0,0,0,0,1,1
stool_texture,,,no_match,0.0,0,0,0,1,1
anti_PD_1,,,no_match,0.0,0,0,0,1,1
ajcc,tumor_staging_ajcc,tumor_staging_ajcc,semantic,0.6333,1,0,0,0,1
smoke,smoker,smoker,fuzzy,0.8636,1,0,0,0,1
bristol_score,,,no_match,0.0,0,0,0,1,1
hsCRP,,,no_match,0.0,0,0,0,1,1
LDL,,,no_match,0.0,0,0,0,1,1
mgs_richness,,,no_match,0.0,0,0,0,1,1
ferm_milk_prod_consumer,,,no_match,0.0,0,0,0,1,1
inr,,,no_match,0.0,0,0,0,1,1
birth_control_pil,,control,semantic,0.6333,0,1,0,0,0
c_section_type,,,no_match,0.0,0,0,0,1,1
hla_drb12,hla,hla,semantic,0.7,1,0,0,0,1
hla_dqa12,hla,hla,semantic,0.7,1,0,0,0,1
hla_dqa11,hla,hla,semantic,0.7,1,0,0,0,1
hla_drb11,hla,hla,semantic,0.7,1,0,0,0,1
zigosity,,,no_match,0.0,0,0,0,1,1
brinkman_index,,,no_match,0.0,0,0,0,1,1
alcohol_numeric,,,no_match,0.0,0,0,0,1,1
breastfeeding_duration,,,no_match,0.0,0,0,0,1,1
formula_first_day,,,no_match,0.0,0,0,0,1,1
ALT,,,no_match,0.0,0,0,0,1,1
eGFR,,,no_match,0.0,0,0,0,1,1
